iter	Passed	Remaining
445	1090	1355
446	1092	1351
447	1093	1347
448	1094	1342
449	1095	1339
450	1097	1336
451	1099	1332
452	1100	1328
453	1101	1324
454	1102	1320
455	1103	1316
456	1104	1312
457	1106	1308
458	1107	1305
459	1108	1301
460	1109	1297
461	1111	1294
462	1113	1291
463	1115	1288
464	1116	1284
465	1117	1281
466	1119	1277
467	1120	1273
468	1121	1269
469	1122	1266
470	1123	1262
471	1125	1258
472	1127	1255
473	1128	1252
474	1129	1248
475	1131	1245
476	1132	1241
477	1133	1237
478	1134	1234
479	1135	1230
480	1136	1226
481	1138	1223
482	1139	1219
483	1141	1216
484	1143	1214
485	1144	1210
486	1146	1207
487	1147	1203
488	1148	1200
489	1150	1197
490	1151	1193
491	1152	1189
492	1153	1186
493	1155	1183
494	1157	1181
495	1159	1178
496	1161	1175
497	1163	1173
498	1165	1170
499	1167	1167
500	1168	1164
501	1172	1162
502	1173	1159
503	1174	1156
504	1176	1152
505	1177	1149
506	1178	1145
507	1179	1142
508	1180	1138
509	1181	1135
510	1183	1132
511	1184	1129
512	1186	1126
513	1187	1122
514	1188	1119
515	1189	1115
516	1190	1112
517	1192	1109
518	1193	1105
519	1194	1102
520	1195	1099
521	1196	1095
522	1197	1092
523	1199	1089
524	1200	1086
525	1202	1083
526	1203	1080
527	1204	1076
528	1205	1073
529	1207	1070
530	1208	1067
531	1209	1063
532	1210	1060
533	1212	1057
534	1213	1054
535	1215	1051
536	1216	1049
537	1218	1046
538	1219	1042
539	1220	1039
540	1221	1036
541	1222	1033
542	1223	1030
543	1225	1026
544	1226	1024
545	1228	1021
546	1230	1019
547	1232	1016
548	1233	1013
549	1237	1012
550	1239	1010
551	1241	1007
552	1242	1004
553	1243	1000
554	1245	998
555	1247	996
556	1249	993
557	1250	990
558	1251	987
559	1253	984
560	1254	981
561	1256	978
562	1257	975
563	1258	972
564	1260	970
565	1262	967
566	1263	964
567	1264	961
568	1265	958
569	1267	955
570	1268	952
571	1269	949
572	1270	946
573	1271	943
574	1272	940
575	1275	938
576	1276	935
577	1277	932
578	1279	930
579	1280	927
580	1281	924
581	1282	921
582	1283	918
583	1284	915
584	1286	912
585	1287	909
586	1288	906
587	1290	904
588	1292	901
589	1293	898
590	1294	896
591	1296	893
592	1297	890
593	1298	887
594	1299	884
595	1300	881
596	1301	878
597	1302	875
598	1305	873
599	1306	871
600	1308	868
601	1309	865
602	1310	862
603	1311	860
604	1312	857
605	1314	854
606	1315	851
607	1316	848
608	1317	845
609	1318	843
610	1320	840
611	1322	838
612	1323	835
613	1324	832
614	1325	830
615	1327	827
616	1328	824
617	1329	821
618	1330	819
619	1331	816
620	1333	813
621	1335	811
622	1337	809
623	1338	806
624	1340	804
625	1341	801
626	1342	798
627	1343	796
628	1345	793
629	1346	790
630	1347	787
631	1348	785
632	1351	783
633	1353	781
634	1354	778
635	1355	775
636	1357	773
637	1358	771
638	1360	768
639	1361	765
640	1362	763
641	1363	760
642	1365	758
643	1367	755
644	1368	753
645	1369	750
646	1370	747
647	1371	745
648	1372	742
649	1374	739
650	1375	737
651	1376	734
652	1377	732
653	1378	729
654	1381	727
655	1382	725
656	1383	722
657	1384	719
658	1386	717
659	1387	714
660	1388	712
661	1389	709
662	1390	706
663	1392	704
664	1393	702
665	1395	700
666	1397	697
667	1398	695
668	1399	692
669	1400	689
670	1401	687
671	1403	684
672	1404	682
673	1405	679
674	1406	677
675	1407	674
676	1409	672
677	1411	670
678	1412	667
679	1414	665
680	1415	662
681	1416	660
682	1417	657
683	1418	655
684	1420	653
685	1421	650
686	1422	648
687	1425	646
688	1427	644
689	1428	641
690	1429	639
691	1430	636
692	1431	634
693	1432	631
694	1434	629
695	1435	627
696	1437	624
697	1439	622
698	1441	620
699	1442	618
700	1444	616
701	1445	613
702	1447	611
703	1448	609
704	1449	606
705	1451	604
706	1452	601
707	1454	599
708	1456	597
709	1458	595
710	1459	593
711	1460	590
712	1462	588
713	1463	586
714	1464	583
715	1465	581
716	1466	578
717	1468	576
718	1470	574
719	1471	572
720	1472	569
721	1473	567
722	1474	565
723	1476	562
724	1477	560
725	1478	558
726	1479	555
727	1480	553
728	1482	550
729	1484	549
730	1486	546
731	1487	544
732	1488	542
733	1489	539
734	1490	537
735	1492	535
736	1493	532
737	1494	530
738	1495	528
739	1496	525
740	1498	523
741	1499	521
742	1501	519
743	1502	517
744	1503	514
745	1504	512
746	1506	510
747	1507	507
748	1508	505
749	1509	503
750	1510	500
751	1511	498
752	1514	496
753	1515	494
754	1517	492
755	1518	490
756	1519	487
757	1520	485
758	1522	483
759	1523	480
760	1524	478
761	1525	476
762	1526	474
763	1527	471
764	1529	469
765	1531	467
766	1533	465
767	1534	463
768	1535	461
769	1536	459
770	1537	456
771	1539	454
772	1540	452
773	1541	450
774	1542	447
775	1544	445
776	1545	443
777	1547	441
778	1548	439
779	1549	437
780	1550	434
781	1552	432
782	1553	430
783	1554	428
784	1556	426
785	1557	424
786	1559	422
787	1560	419
788	1562	417
789	1563	415
790	1564	413
791	1566	411
792	1567	409
793	1568	407
794	1570	404
795	1572	402
796	1574	400
797	1576	399
798	1578	397
799	1580	395
800	1581	392
801	1582	390
802	1583	388
803	1584	386
804	1585	384
805	1587	382
806	1589	380
807	1590	378
808	1592	375
809	1593	373
810	1594	371
811	1595	369
812	1596	367
813	1597	365
814	1598	362
815	1599	360
816	1603	359
817	1604	357
818	1605	354
819	1606	352
820	1608	350
821	1609	348
822	1610	346
823	1611	344
824	1612	342
825	1613	339
826	1615	337
827	1617	336
828	1619	334
829	1620	332
830	1622	329
831	1623	327
832	1625	325
833	1626	323
834	1627	321
835	1628	319
836	1630	317
837	1632	315
838	1634	313
839	1635	311
840	1636	309
841	1637	307
842	1639	305
843	1640	303
844	1641	301
845	1642	298
846	1643	296
847	1644	294
848	1647	292
849	1648	290
850	1650	288
851	1651	286
852	1652	284
853	1653	282
854	1654	280
855	1656	278
856	1657	276
857	1658	274
858	1659	272
859	1660	270
860	1662	268
861	1664	266
862	1665	264
863	1666	262
864	1667	260
865	1668	258
866	1670	256
867	1671	254
868	1672	252
869	1673	250
870	1674	248
871	1677	246
872	1678	244
873	1679	242
874	1681	240
875	1682	238
876	1683	236
877	1684	234
878	1685	232
879	1687	230
880	1688	228
881	1689	226
882	1692	224
883	1693	222
884	1694	220
885	1696	218
886	1697	216
887	1698	214
888	1699	212
889	1701	210
890	1702	208
891	1703	206
892	1704	204
893	1706	202
894	1708	200
895	1710	198
896	1711	196
897	1712	194
898	1714	192
899	1715	190
900	1717	188
901	1718	186
902	1719	184
903	1721	182
904	1723	180
905	1725	178
906	1726	177
907	1727	175
908	1728	173
909	1730	171
910	1731	169
911	1732	167
912	1733	165
913	1734	163
914	1737	161
915	1738	159
916	1740	157
917	1741	155
918	1742	153
919	1743	151
920	1744	149
921	1746	147
922	1747	145
923	1748	143
924	1749	141
925	1751	139
926	1753	138
927	1754	136
928	1756	134
929	1757	132
930	1758	130
931	1759	128
932	1760	126
933	1762	124
934	1763	122
935	1764	120
936	1766	118
937	1768	116
938	1770	114
939	1771	113
940	1772	111
941	1773	109
942	1774	107
943	1775	105
944	1777	103
945	1778	101
946	1779	99
947	1782	97
948	1783	95
949	1784	93
950	1786	92
951	1787	90
952	1788	88
953	1789	86
954	1790	84
955	1791	82
956	1792	80
957	1794	78
958	1796	76
959	1797	74
960	1799	73
961	1800	71
